Date,Close/Last,Volume,Open,High,Low
12/05/2024,$18.9098,167352,$18.87,$18.98,$18.80
12/04/2024,$18.52,126923,$18.85,$18.85,$18.43
12/03/2024,$18.62,100793,$18.60,$18.625,$18.43
12/02/2024,$18.35,89174,$18.50,$18.50,$18.16
11/29/2024,$17.92,68101,$17.68,$17.97,$17.56
11/27/2024,$18.10,147448,$18.05,$18.12,$17.8501
11/26/2024,$17.29,158446,$17.35,$17.43,$17.20
11/25/2024,$18.19,96891,$18.26,$18.32,$18.08
11/22/2024,$18.20,139499,$18.20,$18.30,$18.1104
11/21/2024,$17.97,297923,$18.01,$18.04,$17.93
11/20/2024,$17.85,128807,$18.04,$18.04,$17.80
11/19/2024,$18.10,265644,$18.15,$18.25,$18.05
11/18/2024,$19.11,258279,$18.80,$19.11,$18.7807
11/15/2024,$17.9109,108432,$17.925,$18.00,$17.81
11/14/2024,$17.90,125809,$18.25,$18.25,$17.80
11/13/2024,$18.25,107225,$18.53,$18.60,$18.24
11/12/2024,$18.01,235210,$18.10,$18.20,$17.95
11/11/2024,$18.66,252210,$18.68,$18.71,$18.58
11/08/2024,$17.81,257918,$18.35,$18.35,$17.64
11/07/2024,$18.20,221091,$17.78,$18.31,$17.66
11/06/2024,$17.43,290195,$17.38,$17.62,$17.30
11/05/2024,$18.02,209748,$17.98,$18.10,$17.88
11/04/2024,$17.40,159286,$17.50,$17.57,$17.38
11/01/2024,$17.44,182015,$17.53,$17.59,$17.40
10/31/2024,$17.11,225844,$17.17,$17.18,$16.75
10/30/2024,$16.67,159795,$16.50,$16.76,$16.50
10/29/2024,$16.50,168191,$16.69,$16.74,$16.50
10/28/2024,$16.45,142739,$16.85,$16.85,$16.199
10/25/2024,$16.57,156425,$16.41,$16.75,$16.41
10/24/2024,$16.06,192172,$16.20,$16.20,$16.00
10/23/2024,$16.10,149721,$16.30,$16.33,$16.05
10/22/2024,$15.77,233105,$15.58,$15.81,$15.58
10/21/2024,$15.44,147246,$15.65,$15.65,$15.29
10/18/2024,$15.67,78925,$15.70,$15.74,$15.50
10/17/2024,$14.73,44557,$14.66,$14.74,$14.63
10/16/2024,$14.61,76451,$14.72,$14.72,$14.50
10/15/2024,$14.37,267936,$14.66,$14.765,$14.36
10/14/2024,$15.00,214820,$15.15,$15.29,$14.9505
10/11/2024,$15.31,106512,$14.85,$15.35,$14.85
10/10/2024,$15.23,115464,$15.20,$15.34,$15.00
10/09/2024,$15.28,218369,$14.83,$15.35,$14.80
10/08/2024,$15.29,814794,$15.25,$15.52,$14.98
10/07/2024,$16.94,1126611,$16.41,$17.07,$16.40
10/04/2024,$15.67,833544,$15.67,$15.76,$15.5298
10/03/2024,$15.34,224684,$15.17,$15.43,$15.07
10/02/2024,$15.32,679600,$15.25,$15.40,$14.96
10/01/2024,$14.53,344598,$14.10,$14.53,$13.88
09/30/2024,$14.01,132173,$14.40,$14.44,$14.00
09/27/2024,$14.12,244343,$13.99,$14.19,$13.95
09/26/2024,$14.04,323552,$13.97,$14.10,$13.79
09/25/2024,$13.26,211922,$13.25,$13.34,$13.21
09/24/2024,$14.18,522397,$13.79,$14.215,$13.71
09/23/2024,$13.23,174941,$13.03,$13.32,$13.03
09/20/2024,$12.645,69000,$12.69,$12.74,$12.61
09/19/2024,$12.68,65744,$12.50,$12.74,$12.50
09/18/2024,$12.36,69835,$12.50,$12.50,$12.31
09/17/2024,$12.46,80077,$12.31,$12.49,$12.31
09/16/2024,$12.26,34110,$12.23,$12.28,$12.23
09/13/2024,$12.22,102311,$12.22,$12.26,$12.15
09/12/2024,$12.13,59550,$12.18,$12.18,$12.01
09/11/2024,$12.21,119705,$12.02,$12.21,$12.02
09/10/2024,$11.82,42702,$11.90,$11.90,$11.76
09/09/2024,$11.90,106756,$11.70,$11.9037,$11.6895
